team,mp2007,mp2008,mp2009,mp2010,mp2011,mp2012,mp2013,mp2014,mp2015,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,conf_name,pts,Rank,Main,Region,Conference
California,12.938301,15.113987,3.8436937,0.49509168,11.116615,1.9692655,-8.0620432,4.2389545,5.097284317,20,13,46,63,20,55,94,50,48,Pac-12 North,8.6,31,Pac-12,North,1
Oregon,17.411478,20.84058,17.196121,19.797867,24.359938,22.837498,20.918936,26.024254,6.801621437,8,6,9,7,3,5,4,4,41,Pac-12 North,14.5,19,Pac-12,North,1
Oregon State,14.20146,13.847243,7.0006175,5.2352448,1.2131484,8.4374619,9.2133188,1.9531741,-15.05402279,17,16,35,40,56,30,31,59,117,Pac-12 North,-6.1,85,Pac-12,North,1
Stanford,-4.2103825,5.1823912,11.918701,21.696739,19.391624,16.987259,21.378731,21.299839,12.10585308,71,39,22,6,8,12,3,6,14,Pac-12 North,14.4,20,Pac-12,North,1
Washington,6.0066891,-11.71101,0.81426883,3.5697663,3.9015179,6.7466168,13.386765,9.6450119,8.401599884,45,104,60,47,45,40,20,30,31,Pac-12 North,3.7,48,Pac-12,North,1
Washington State,1.2568065,-18.744957,-27.569321,-11.41935,-5.0300412,-11.021585,-0.10193695,0.5164535,4.134562492,55,114,120,100,78,97,60,63,51,Pac-12 North,-2,68,Pac-12,North,1
Arizona,10.231453,11.884926,6.7206831,7.9582968,3.7422152,1.4356618,9.8310795,9.6596231,-1.996187329,28,21,36,33,47,57,30,29,74,Pac-12 South,5.8,43,Pac-12,South,2
Arizona State,9.8931866,8.3638039,5.2099991,6.254962,7.1660452,7.8768463,11.007948,10.304644,-0.819272041,29,28,42,36,33,32,27,26,72,Pac-12 South,10.5,22,Pac-12,South,2
Colorado,0.76861876,-2.9714298,-3.238457,-1.7437372,-8.2645473,-21.435558,-10.650061,-3.221283,-5.466651917,56,68,72,68,90,117,104,75,87,Pac-12 South,-1.1,63,Pac-12,South,2
UCLA,10.71884,0.63310146,1.2129502,-1.4800762,4.4515495,6.7467022,14.152412,18.949562,7.788943291,27,57,58,66,42,39,18,10,36,Pac-12 South,17.4,11,Pac-12,South,2
USC,29.873035,36.069328,16.073223,9.9096451,22.598763,14.066477,15.701962,16.26775,9.336698532,1,1,10,29,4,18,13,15,23,Pac-12 South,15.6,15,Pac-12,South,2
Utah,6.865078,13.203017,7.7116008,6.3276687,6.5244932,3.2140169,2.7652397,9.9809923,3.561228275,42,18,31,35,35,51,53,28,55,Pac-12 South,6.7,37,Pac-12,South,2
Baylor,-11.898417,-1.6074278,-5.3915272,0.62697124,7.7918367,11.766607,14.42802,17.308308,15.84891224,91,66,81,61,32,22,16,14,5,Big 12 ,16.6,13,Big 12 ,0,3
Iowa State,-13.667339,-10.882213,-6.7706146,-5.4559331,-5.0148535,-0.42328954,-2.0918336,-7.6727476,-2.813244343,98,102,87,78,77,65,67,83,80,Big 12 ,-2.2,72,Big 12 ,0,3
Kansas,14.388945,11.227354,3.7601695,-12.301701,-15.304196,-13.367352,-9.8924427,-8.3304901,-25.82819939,15,22,48,102,108,103,101,87,127,Big 12 ,-9.3,98,Big 12 ,0,3
Kansas State,2.8454731,-3.9578385,-1.6349115,0.8863039,2.5667863,16.233097,14.39503,10.331646,-2.491662979,52,72,70,60,50,13,17,25,78,Big 12 ,7.8,33,Big 12 ,0,3
Oklahoma,20.071217,25.998936,19.215113,19.603081,18.582537,19.548426,14.495626,15.290657,20.49320221,6,3,6,8,10,9,15,17,2,Big 12 ,19.1,7,Big 12 ,0,3
